BHID,FROM,TO,AU,CU,DENSITY
VB4281,246.71560669,248.71560669,0.49000001,0.60000002,-
VB4281,248.71560669,250.71560669,0.34999999,0.5,-
VB4281,250.71560669,252.71560669,0.56,0.60000002,-
VB4281,252.71560669,254.71560669,1.47000003,1.29999995,-
VB4281,254.71560669,256.71560669,0.09,-,-
VB4281,256.71560669,258.71560669,0.14,-,-
VB4281,260.71560669,262.71560669,0.51999998,0.60000002,3.0999999
VB4281,262.71560669,264.71560669,0.44999999,0.60000002,3.0999999
VB4281,264.71560669,266.71560669,1.08000004,1.10000002,4.13999987
VB4281,266.71560669,268.71560669,1.27999997,1.20000005,4.25
VB4281,268.71560669,270.71560669,1.04999995,1.10000002,4.13999987
VB4281,270.71560669,272.71560669,1.63999999,1.60000002,4.48999977
VB4281,272.71560669,274.71560669,0.75,0.80000001,3.56999993
VB4281,274.71560669,276.71560669,0.49000001,0.60000002,3.13000011
VB4281,276.71560669,278.71560669,0.98000002,1,3.95000005
VB4281,278.71560669,280.71560669,0.50999999,0.60000002,3.13000011
VB4281,280.71560669,282.71560669,0.66000003,0.80000001,3.56999993
VB4281,282.71560669,284.71560669,0.74000001,0.80000001,3.57999992
VB4281,286.71560669,289.21560669,0.70999998,0.80000001,3.57999992
VB4281,292.81561279,301.21560669,-,-,3.27999997
VB4282,138.61540222,201.15539551,-,-,2.9000001
VB4282,201.15539551,202.11540222,0.83999997,0.69999999,3.81999993
VB4282,202.11540222,204.11540222,-,-,2.9000001
VB4282,204.11540222,204.47540283,0.69999999,0.69999999,3.81999993
VB4282,204.47540283,206.11540222,0.69999999,0.69999999,-
VB4282,206.11540222,208.11540222,1.12,0.89999998,-
VB4282,208.11540222,210.11540222,1.12,0.89999998,-
VB4282,210.11540222,212.11540222,0.63,0.60000002,-
VB4282,212.11540222,214.11540222,1.12,0.89999998,-
VB4282,214.11540222,216.11540222,1.88999999,1.39999998,-
VB4282,216.11540222,218.11540222,0.91000003,0.80000001,-
VB4282,218.11540222,220.11540222,0.28999999,0.5,-
VB4282,220.11540222,220.47540283,0.16,0.40000001,-
VB4282,220.47540283,222.11540222,0.16,0.40000001,2.8599999
VB4282,222.11540222,224.11540222,0.14,0.40000001,2.86999989
VB4282,224.11540222,226.11540222,0.28,0.5,2.98000002
VB4282,226.11540222,228.11540222,0.17,0.40000001,2.88000011
VB4282,228.11540222,230.11540222,0.64999998,0.69999999,3.29999995
VB4282,230.11540222,232.11540222,1.13999999,1,3.95000005
VB4282,232.11540222,234.11540222,-,0.89999998,3.75999999
VB4282,234.11540222,236.11540222,0.60000002,0.69999999,3.29999995
VB4282,236.11540222,238.11540222,0.81,0.80000001,3.57999992
VB4282,238.11540222,240.11540222,0.76999998,0.80000001,3.57999992
VB4282,240.11540222,241.61540222,0.79000002,0.80000001,3.57999992
VB4282,241.61540222,243.41540527,-,-,3.27999997
VB4282,243.41540527,243.77540588,-,-,3.27999997
